户号,日期,时间,预测量
A4,2018/08/02,0:00:00,-1
A4,2018/08/03,0:00:00,-1
A4,2018/08/04,0:00:00,-1
A4,2018/08/05,0:00:00,-1
A4,2018/08/06,0:00:00,3246.08
A4,2018/08/07,0:00:00,3254.19
A4,2018/08/08,0:00:00,3264.83
A4,2018/08/09,0:00:00,3275.27
A4,2018/08/10,0:00:00,3285
A4,2018/08/11,0:00:00,3295.34
A4,2018/08/12,0:00:00,3304.55
A4,2018/08/13,0:00:00,3308.48
A4,2018/08/14,0:00:00,3313.63
A4,2018/08/15,0:00:00,3321.47
A4,2018/08/16,0:00:00,3330.65
A4,2018/08/17,0:00:00,3337.17
A4,2018/08/18,0:00:00,3338.76
A4,2018/08/19,0:00:00,-1
A4,2018/08/20,0:00:00,3352.65
A4,2018/08/21,0:00:00,3362.59
A4,2018/08/22,0:00:00,3369.59
A4,2018/08/23,0:00:00,3376.94
A4,2018/08/24,0:00:00,3386.52
A4,2018/08/25,0:00:00,3397.27
A4,2018/08/26,0:00:00,3398.65
A4,2018/08/27,0:00:00,3403.11
A4,2018/08/28,0:00:00,3409.99
A4,2018/08/29,0:00:00,3418.88
A4,2018/08/30,0:00:00,3429.61
A4,2018/08/31,0:00:00,3438.72
A4,2018/09/01,0:00:00,3446.41
A4,2018/09/02,0:00:00,3453.23
A4,2018/09/03,0:00:00,3460.09
A4,2018/09/04,0:00:00,3467.58
A4,2018/09/05,0:00:00,3477.48
A4,2018/09/06,0:00:00,3487.1
A4,2018/09/07,0:00:00,3495.23
A4,2018/09/08,0:00:00,3497.28
A4,2018/09/09,0:00:00,3499.7
A4,2018/09/10,0:00:00,3510.07
A4,2018/09/11,0:00:00,3514.4
A4,2018/09/12,0:00:00,3522.34
A4,2018/09/13,0:00:00,-1
A4,2018/09/14,0:00:00,-1
A4,2018/09/15,0:00:00,-1
A4,2018/09/16,0:00:00,-1
A4,2018/09/17,0:00:00,-1
A4,2018/09/18,0:00:00,-1
A4,2018/09/19,0:00:00,-1
A4,2018/09/20,0:00:00,3523.83
A4,2018/09/21,0:00:00,3529.59
A4,2018/09/22,0:00:00,3531.61
A4,2018/09/23,0:00:00,3533.11
A4,2018/09/24,0:00:00,3539.65
A4,2018/09/25,0:00:00,3547.19
A4,2018/09/26,0:00:00,3554.39
A4,2018/09/27,0:00:00,3560.31
A4,2018/09/28,0:00:00,3562.97
A4,2018/09/29,0:00:00,3572.03
A4,2018/09/30,0:00:00,3580.82
A5,2018/08/01,0:00:00,9104.03
A5,2018/08/02,0:00:00,9119.94
A5,2018/08/03,0:00:00,9131.42
A5,2018/08/04,0:00:00,9138.5
A5,2018/08/05,0:00:00,9155.21
A5,2018/08/06,0:00:00,9170.78
A5,2018/08/07,0:00:00,9182.37
A5,2018/08/08,0:00:00,9197.95
A5,2018/08/09,0:00:00,9212.04
A5,2018/08/10,0:00:00,9225.64
A5,2018/08/11,0:00:00,9239.86
A5,2018/08/12,0:00:00,9254.08
A5,2018/08/13,0:00:00,9259.14
A5,2018/08/14,0:00:00,9267.33
A5,2018/08/15,0:00:00,9275.3
A5,2018/08/16,0:00:00,9285.4
A5,2018/08/17,0:00:00,9294.63
A5,2018/08/18,0:00:00,9297.25
A5,2018/08/19,0:00:00,9311.34
A5,2018/08/20,0:00:00,9327.03
A5,2018/08/21,0:00:00,9340.58
A5,2018/08/22,0:00:00,9351.25
A5,2018/08/23,0:00:00,9362.76
A5,2018/08/24,0:00:00,9377.24
A5,2018/08/25,0:00:00,9392.98
A5,2018/08/26,0:00:00,9394.44
A5,2018/08/27,0:00:00,9399.47
A5,2018/08/28,0:00:00,9410.86
A5,2018/08/29,0:00:00,9424.21
A5,2018/08/30,0:00:00,9439.96
A5,2018/08/31,0:00:00,9453.41
A5,2018/09/01,0:00:00,9464.72
A5,2018/09/02,0:00:00,9476.91
A5,2018/09/03,0:00:00,9489.3
A5,2018/09/04,0:00:00,9499.29
A5,2018/09/05,0:00:00,9514.84
A5,2018/09/06,0:00:00,9530.08
A5,2018/09/07,0:00:00,9542.25
A5,2018/09/08,0:00:00,9545.18
A5,2018/09/09,0:00:00,9549.04
A5,2018/09/10,0:00:00,9565.12
A5,2018/09/11,0:00:00,9574.28
A5,2018/09/12,0:00:00,9578.23
A5,2018/09/13,0:00:00,9584.48
A5,2018/09/14,0:00:00,9591.69
A5,2018/09/15,0:00:00,9602.71
A5,2018/09/16,0:00:00,9610.95
A5,2018/09/17,0:00:00,9617.98
A5,2018/09/18,0:00:00,9622.68
A5,2018/09/19,0:00:00,9633.35
A5,2018/09/20,0:00:00,9645.62
A5,2018/09/21,0:00:00,9655.81
A5,2018/09/22,0:00:00,9658.14
A5,2018/09/23,0:00:00,9660.1
A5,2018/09/24,0:00:00,9668.44
A5,2018/09/25,0:00:00,9680.88
A5,2018/09/26,0:00:00,9692.17
A5,2018/09/27,0:00:00,9700.78
A5,2018/09/28,0:00:00,9704.77
A5,2018/09/29,0:00:00,9719.12
A5,2018/09/30,0:00:00,9733.59
